"name", "region", "exposed", "generationTime", "sensitivity", "migration"
"Acari", "Eurasia", "1", "0.5", "-1.111", "0"
"Acentria", "Eurasia", "1", "1", "-0.06", "0"
"Acentria ephemerella", "Eurasia", "1", "1", "-0.06", "0"
"Acilius", "Eurasia", "1", "1", "-0.80728", "0"
"Acilius canaliculatus", "Eurasia", "1", "1", "-0.80728", "0"
"Acilius sp.", "Eurasia", "1", "1", "-0.80728", "0"
"Acilius sulcatus", "Eurasia", "1", "1", "-0.80728", "0"
"Acroloxidae", "Eurasia", "1", "1", "-1.23", "0"
"Acroloxus", "Eurasia", "1", "1", "-1.23", "0"
"Acroloxus lacustris", "Eurasia", "1", "1", "-1.23", "0"
"Adicella", "Eurasia", "1", "1", "-0.05811", "0"
"Adicella reducta", "Eurasia", "1", "1", "-0.05811", "0"
"Adicella sp.", "Eurasia", "1", "1", "-0.05811", "0"
"Aedes", "Eurasia", "1", "0.25", "-0.28635", "0"
"Aedes sp.", "Eurasia", "1", "0.25", "-0.28635", "0"
"Aelosoma", "Eurasia", "1", "0.5", "-1.1", "0"
"Aelosomatidae", "Eurasia", "1", "0.5", "-1.1", "0"
"Aeolosoma hemprichi", "Eurasia", "1", "0.5", "-1.1", "0"
"Aeshna", "United Kingdom", "1", "2.02078", "-0.95986", "0"
"Aeshna", "Eurasia", "1", "2.21667", "-0.95986", "0"
"Aeshna caerulea", "Eurasia", "1", "3", "-0.95986", "0"
"Aeshna cyanea", "Eurasia", "1", "2", "-0.95986", "0"
"Aeshna grandis", "United Kingdom", "1", "2", "-0.95986", "0"
"Aeshna grandis", "Eurasia", "1", "3", "-0.95986", "0"
"Aeshna isosceles", "United Kingdom", "1", "1.84545", "-0.95986", "0"
"Aeshna juncea", "Eurasia", "1", "1", "-0.95986", "0"
"Aeshna mixta", "Eurasia", "1", "2", "-0.95986", "0"
"Aeshna sp.", "Eurasia", "1", "2.3", "-0.95986", "0"
"Aeshnidae", "Eurasia", "1", "2", "-0.95986", "0"
