"species";"subphyl";"val";"n"
"Ambystoma mexicanum";"Vertebrata";1360;1
"Amphipoda";"Crustacea";0.11;1
"Anax imperator";"Hexapoda";1.98;1
"Anguilla anguilla";"Vertebrata";540;1
"Aplexa hypnorum";"";806;1
"Asellus aquaticus";"Crustacea";8.58;1
"Atalophlebia australis";"Hexapoda";0.24;1
"Bidyanus bidyanus";"Vertebrata";17;1
"Branchiura sowerbyi";"";66;2
"Bufo bufo ssp. gargarizans";"Vertebrata";800;1
"Carassius auratus";"Vertebrata";1623.45926958455;2
"Ceriodaphnia dubia";"Crustacea";0.0569161171972082;4
"Channa punctata";"Vertebrata";544.40123071132;2
"Chaoborus obscuripes";"Hexapoda";1.40712472794703;2
"Chironomus dilutus";"Hexapoda";0.621515499984834;3
"Chironomus plumosus";"Hexapoda";49.6296930653547;15
"Chironomus riparius";"Hexapoda";0.174928556845359;2
"Chironomus tentans";"Hexapoda";0.47;1
"Cirrhinus mrigala";"Vertebrata";943.585596261591;3
"Claassenia sabulosa";"Hexapoda";0.57;1
"Clarias gariepinus";"Vertebrata";21.4476105895272;2
"Cloeon dipterum";"Hexapoda";0.3286335345031;2
"Corixa punctata";"Hexapoda";2;1
"Ctenopharyngodon idella";"Vertebrata";50;1
"Cyprinus carpio";"Vertebrata";75.6593287202541;4
"Danio rerio";"Vertebrata";1600;1
"Daphnia longispina";"Crustacea";0.3;1
"Daphnia magna";"Crustacea";0.82;1
"Diaptomus forbesi";"Crustacea";3.6;2
"Eriocheir sinensis";"Crustacea";249.35000669801;9
"Gambusia affinis";"Vertebrata";362.162264586879;3
"Gambusia yucatana";"Vertebrata";11;1
"Gammarus fasciatus";"Crustacea";0.32;1
"Gammarus lacustris";"Crustacea";0.11;1
"Gammarus pseudolimnaeus";"Crustacea";0.18;1
"Gammarus pulex";"Crustacea";0.126885775404495;2
"Gasterosteus aculeatus";"Vertebrata";8.5;1
"Gibelion catla";"Vertebrata";558.597681806807;3
"Heteropneustes fossilis";"Vertebrata";2295.77042466555;3
"Hoplobatrachus tigerinus";"Vertebrata";19;1
"Hyalella azteca";"Crustacea";0.0728249333045307;14
"Ictalurus punctatus";"Vertebrata";776.801144129015;3
"Labeo rohita";"Vertebrata";691.983371358024;3
"Lampsilis siliquoidea";"";287.228132326901;2
"Lepomis macrochirus";"Vertebrata";5.62034285506947;13
"Leptoceridae";"Hexapoda";0.77;1
"Macrobrachium lanchesteri";"Crustacea";2.53;1
"Melanotaenia fluviatilis";"Vertebrata";122;1
"Neocaridina denticulata";"Crustacea";457;1
"Neoplea striola";"Hexapoda";1.37956514887844;2
"Notonecta maculata";"Hexapoda";7.97;1
"Oncorhynchus clarkii";"Vertebrata";13.6402532067929;4
"Oncorhynchus mykiss";"Vertebrata";20.5840457606849;12
"Orconectes immunis";"Crustacea";6;1
"Oreochromis mossambicus";"Vertebrata";24.4230870533139;5
"Oreochromis niloticus";"Vertebrata";125.200809177973;5
"Oziotelphusa senex ssp. senex";"Crustacea";322.370979547062;4
"Palaemonetes argentinus";"Crustacea";0.49;1
"Palaemonetes pugio";"Crustacea";0.15;2
"Parapoynx stratiotata";"Hexapoda";27.2;1
"Parathelphusidae";"Crustacea";120;1
"Paratya australiensis";"Crustacea";0.159008744189992;11
"Peltodytes sp.";"Hexapoda";0.8;1
"Pimephales promelas";"Vertebrata";184.608084626403;11
"Plea minutissima";"Hexapoda";1.98;1
"Plecoptera";"Hexapoda";10;1
"Poecilia reticulata";"Vertebrata";20.8377261577723;3
"Procambarus acutus ssp. acutus";"Crustacea";2;1
"Procambarus clarkii";"Crustacea";21;1
"Procambarus sp.";"Crustacea";4.47157690306227;2
"Pteronarcella badia";"Hexapoda";0.38;1
"Pteronarcys californica";"Hexapoda";10;1
"Pungitius pungitius";"Vertebrata";4.7;1
"Rana dalmatina";"Vertebrata";5174;1
"Ranatra linearis";"Hexapoda";4.48;1
"Rhinella fernandezae";"Vertebrata";151;1
"Rutilus rutilus";"Vertebrata";120;1
"Salvelinus namaycush";"Vertebrata";149.959650422029;6
"Sialis lutaria";"Hexapoda";21700;1
"Simocephalus vetulus";"Crustacea";0.5;1
"Spiralothelphusa hydrodroma";"Crustacea";120;1
"Tilapia zillii";"Vertebrata";73.8755710637826;2
"Xenopus laevis";"Vertebrata";2767.18361213116;5
