"LA";"CE";"PAPB"
"0";"0";".372"
"0";"3.125";".359"
"0";"6.25";".385"
"0";"12.50";".481"
"0";"25.00";".662"
"3.125";"0";".333"
"3.125";"3.125";".370"
"3.125";"6.25";".447"
"3.125";"12.50";".533"
"3.125";"25.00";".684"
"6.250";"0";".368"
"6.250";"3.125";".419"
"6.250";"6.25";".449"
"6.250";"12.50";".568"
"6.250";"25.00";".747"
"12.50";"0";".500"
"12.50";"3.125";".548"
"12.50";"6.25";".569"
"12.50";"12.50";".629"
"12.50";"25.00";".761"
"25.00";"0";".667"
"25.00";"3.125";".725"
"25.00";"6.25";".708"
"25.00";"12.50";".757"
"25.00";"25.00";".821"
