"DAY";"ZINC"
"001";"700"
"001";"695"
"001";"675"
"001";"630"
"001";"606"
"001";"540"
"001";"505"
"001";"470"
"001";"460"
"001";"455"
"001";"395"
"001";"355"
"001";"300"
"001";"275"
"001";"270"
"001";"260"
"010";"340"
"010";"500"
"020";"280"
"020";"570"
"020";"525"
"025";"535"
"025";"345"
"030";"302"
"030";"345"
"035";"320"
"040";"275"
"045";"275"
"060";"375"
"060";"260"
"060";"245"
"075";"155"
"080";"190"
"080";"350"
"090";"410"
"090";"360"
"095";"370"
"100";"195"
"115";"400"
"125";"175"
"125";"095"
"130";"320"
"130";"325"
"140";"325"
"160";"145"
"160";"140"
"170";"150"
"175";"290"
"185";"125"
"200";"135"
"210";"180"
"220";"055"
"255";"100"
"260";"140"
"260";"110"
"280";"090"
"295";"160"
"315";"055"
"325";"075"
"325";"045"
"355";"085"
"365";"075"
"385";"065"
"410";"045"
"420";"070"
"420";"030"
"450";"060"
"465";"065"
"505";"025"
"515";"025"
"550";"015"
"555";"020"
"625";"020"
