TTD TANK PPT WETWT STDLGTH
 8  1 15.8 0.112 1.9
 8  1 15.8 0.050 1.5 
 8  1 15.8 0.029 1.2
 8  1 15.8 0.045 1.4
 8  2 15.8 0.097 1.8
 8  2 15.8 0.048 1.4
 8  2 15.8 0.050 1.5
 8  2 15.8 0.142 2.1
 8  2 15.8 0.051 1.5
 8 11 20.1 0.050 1.4
 8 11 20.1 0.093 1.8
 8 11 20.1 0.073 1.5
 8 11 20.1 0.086 1.7
 8 11 20.1 0.069 1.5
 8 11 20.1 0.066 1.6
 8 11 20.1 0.145 2.0
 8 11 20.1 0.136 1.9
 8 11 20.1 0.103 1.8
 8 11 20.1 0.047 1.3
 8 11 20.1 0.064 1.5
 8 11 20.1 0.138 1.9
 8 11 20.1 0.094 1.6
 8 11 20.1 0.393 2.8
 8 11 20.1 0.090 1.7
 8 11 20.1 0.184 2.2
 8 11 20.1 0.045 1.3
 8 11 20.1 0.134 2.0
 8 11 20.1 0.152 2.1
 8 11 20.1 0.075 1.6
 8 11 20.1 0.215 2.3
 8 11 20.1 0.143 2.0
 8 11 20.1 0.119 1.8
 8 11 20.1 0.395 2.7
 8 11 20.1 0.116 1.8
 8 11 20.1 0.108 1.8
 8 11 20.1 0.100 1.7
 8 11 20.1 0.147 2.0
 8 11 20.1 0.153 2.1
 8 11 20.1 0.209 2.2
 8 11 20.1 0.078 1.6
 8 11 20.1 0.097 1.8
 8 11 20.1 0.261 2.3
 8 11 20.1 0.065 1.5
 8 11 20.1 0.113 1.8
 8 11 20.1 0.150 2.1
 8 11 20.1 0.089 1.7
 8 11 20.1 0.061 1.6
 8 11 20.1 0.109 1.7
 8 12 20.1 0.059 1.5
 8 12 20.1 0.074 1.6
 8 12 20.1 0.073 1.6
 8 12 20.1 0.143 2.0
 8 12 20.1 0.091 1.7
 8 12 20.1 0.085 1.7
 8 12 20.1 0.110 1.9  
 8 12 20.1 0.101 1.8
 8 12 20.1 0.075 1.6
 8 12 20.1 0.077 1.7
 8 12 20.1 0.123 1.8
 8 12 20.1 0.095 1.9
 8 12 20.1 0.179 2.2
 8 12 20.1 0.770 3.4
 8 12 20.1 0.071 1.6
 8 12 20.1 0.115 1.9
 8 12 20.1 0.096 1.8
 8 12 20.1 0.141 1.8
 8 12 20.1 0.037 1.2
 8 12 20.1 0.109 1.8
 8 12 20.1 0.100 1.7
 8 12 20.1 0.058 1.5
 8 12 20.1 0.060 1.4
 8 12 20.1 0.128 2.0
 8 12 20.1 0.099 1.8
 8 12 20.1 0.118 1.9
 8 12 20.1 0.138 2.0
 8 12 20.1 0.098 1.7
 8 12 20.1 0.091 1.8
 8 12 20.1 0.057 1.8
 8 12 20.1 0.059 1.9
 8 12 20.1 0.164 1.9
 8 12 20.1 0.061 1.5
 8 12 20.1 0.195 2.3
 8 12 20.1 0.058 1.5
 8 12 20.1 0.134 2.0
 8 12 20.1 0.080 1.6
 8 12 20.1 0.072 1.7
 8 12 20.1 0.367 2.2
16  1 15.8 0.164 2.2
16  1 15.8 0.052 1.4
16  1 15.8 0.130 1.9
16  1 15.8 0.085 1.7
16  1 15.8 0.181 2.2
16  1 15.8 0.052 1.4
16  1 15.8 0.147 1.9
16  1 15.8 0.093 1.7
16  1 15.8 0.081 1.7
16  2 15.8 0.098 1.8
16  2 15.8 0.143 2.0
16  2 15.8 0.071 1.6
16  2 15.8 0.072 1.7
16  2 15.8 0.130 2.1
16  2 15.8 0.220 2.3
16  2 15.8 0.118 1.8
16  2 15.8 0.103 1.8
16  2 15.8 0.071 1.7
16  2 15.8 0.145 2.1
16  2 15.8 0.071 1.6
16  2 15.8 0.134 2.0
16  2 15.8 0.069 1.6
16  2 15.8 0.071 1.8  
16  2 15.8 0.076 1.7
16  2 15.8 0.086 1.7
16  2 15.8 0.064 1.6
16  2 15.8 0.042 1.4
24  1 15.8 0.202 2.3
24  1 15.8 0.069 1.6
24  1 15.8 0.142 2.2
24  1 15.8 0.071 1.5
24  1 15.8 0.270 2.5
24  1 15.8 0.117 2.0
24  1 15.8 0.218 2.4
24  1 15.8 0.090 1.7
24  1 15.8 0.065 1.3
24  1 15.8 0.246 2.5
24  1 15.8 0.065 1.5
24  1 15.8 0.122 1.9
24  1 15.8 0.103 1.7
24  1 15.8 0.120 1.8
24  1 15.8 0.108 2.0
24  1 15.8 0.160 2.1
24  1 15.8 0.261 2.2
24  2 15.8 0.073 1.6
24  2 15.8 0.082 1.7
24  2 15.8 0.074 1.7
24  2 15.8 0.280 2.6
24  2 15.8 0.085 1.8
24  2 15.8 0.113 1.9
24  2 15.8 0.094 1.7
24  2 15.8 0.231 2.3
24  2 15.8 0.229 2.4
24  2 15.8 0.108 1.8
24  2 15.8 0.223 2.4
24  3 13.2 0.070 1.5
24  3 13.2 0.106 1.8
24  4 13.2 0.050 1.3
32  1 15.8 0.117 1.7
32  1 15.8 0.162 2.0
32  1 15.8 0.084 1.6
32  1 15.8 0.242 2.3
32  1 15.8 0.192 2.2
32  1 15.8 0.127 2.0
32  1 15.8 1.016 3.7
32  2 15.8 0.086 1.6
32  2 15.8 0.099 1.7
32  2 15.8 0.137 1.9
32  2 15.8 0.091 1.7
32  3 13.2 0.079 1.6
32  3 13.2 0.073 1.5
32  4 13.2 0.087 1.7
32  4 13.2 0.066 1.4
32  4 13.2 0.051 1.5
