"CONC";"DEAD";"TOTAL"
"0";"1";"26"
"0";"0";"26"
"0";"0";"26"
"0";"0";"26"
"0";"1";"26"
"0";"0";"26"
"1725";"2";"26"
"1792";"5";"26"
"1797";"0";"26"
"1972";"8";"25"
"1996";"7";"26"
"1940";"5";"26"
"2097";"14";"27"
"2057";"12";"26"
"2105";"16";"26"
"2204";"17";"26"
"2233";"18";"26"
"2250";"20";"26"
"2340";"21";"27"
"2448";"21";"26"
"2452";"21";"26"
"2530";"26";"26"
"2624";"26";"26"
"2726";"24";"26"
"2960";"26";"26"
"3090";"25";"26"
"3055";"26";"26"
"3332";"26";"26"
"3335";"26";"26"
"3483";"26";"26"
